Year,Month,Temperature,Precipitation
1884,12,3.6,43.6
1885,1,0.8,68.9
1885,2,4.3,119.1
1885,3,7.3,90.7
1885,4,10.9,320.5
1885,5,13.2,167
1885,6,21,30
1885,7,22.4,112.1
1885,8,20.4,200.2
1885,9,17,298.5
1885,10,10.4,302.7
1885,11,7.6,100.9
1885,12,2.1,9.6
1886,1,1.2,94.7
1886,2,2.5,16.3
1886,3,6.1,13.8
1886,4,11.4,109.8
1886,5,15.3,132.3
1886,6,17.5,108.1
1886,7,20.9,121.7
1886,8,20.1,119.1
1886,9,18.4,69
1886,10,12.6,331.1
1886,11,7.1,304.4
1886,12,2.9,241.1
1887,1,-0.6,83.6
1887,2,1.1,7.2
1887,3,6.3,90.4
1887,4,9.6,205
1887,5,13.1,131
1887,6,19.9,66.7
1887,7,22.3,98.2
1887,8,20.6,193.2
1887,9,16.4,302.7
1887,10,9.1,106.7
1887,11,5.7,287.4
1887,12,1.7,41.1
1888,1,1.3,0
1888,2,2,364.2
1888,3,4.7,204
1888,4,9.5,284
1888,5,15.9,99.9
1888,6,18.9,272.8
1888,7,19,219.2
1888,8,19.7,135.6
1888,9,17.4,281.2
1888,10,10.1,75.9
1888,11,6.3,258.5
1888,12,2.6,104.4
1889,1,1.1,44.2
1889,2,1.9,8.7
1889,3,5.8,110.3
1889,4,9.4,355.9
1889,5,15.1,156.7
1889,6,19.4,170.9
1889,7,20.3,260.4
1889,8,19.6,274.5
1889,9,16.2,117.2
1889,10,11.6,546.8
1889,11,6.3,43.4
1889,12,1.4,64.6
1890,1,3,24.5
1890,2,1.7,22.3
1890,3,6.7,153
1890,4,10.1,149.2
1890,5,14.9,316.8
1890,6,18.9,241.8
1890,7,19.4,342.6
1890,8,19.9,350.1
1890,9,16.4,275.2
1890,10,11.2,13.1
1890,11,6,35.6
1890,12,0.4,87.5
1891,1,-1,1.8
1891,2,2.2,0
1891,3,5.9,183.2
1891,4,9.8,129.5
1891,5,13.9,366.7
1891,6,18.7,119.4
1891,7,20.6,251.4
1891,8,18.8,262.1
1891,9,17.4,109.8
1891,10,13.1,373.6
1891,11,6,220.8
1891,12,2.9,68.7
1892,1,1.8,53.8
1892,2,4,180.5
1892,3,4.8,165.1
1892,4,11.9,105.5
1892,5,15.6,51.2
1892,6,19.8,258.9
1892,7,20.9,103.3
1892,8,21,79.3
1892,9,17.7,198.1
1892,10,10.9,444.7
1892,11,6.8,67.8
1892,12,1.1,4.8
1893,1,-1.1,10.7
1893,2,3.2,65.5
1893,3,9.1,18
1893,4,13.2,20.5
1893,5,15.2,104.3
1893,6,18.8,71.8
1893,7,20.4,84.3
1893,8,21.3,5.7
1893,9,17.6,156
1893,10,12.9,128.5
1893,11,6.5,75.1
1893,12,3.2,79.7
1894,1,0.3,89.8
1894,2,2.9,0
1894,3,7.7,42.7
1894,4,12.5,118.9
1894,5,13.8,212
1894,6,19,27.3
1894,7,21.6,106.6
1894,8,20.3,76.6
1894,9,16,97.2
1894,10,11.3,85.5
1894,11,7.5,118.1
1894,12,2.4,2.6
1895,1,-0.1,150.5
1895,2,-1.1,17.2
1895,3,5.8,57.7
1895,4,11.5,101.3
1895,5,14.1,213.7
1895,6,18.1,204.5
1895,7,21.2,134.5
1895,8,20,55.1
1895,9,19.3,18.6
1895,10,11.8,101.8
1895,11,8,69.6
1895,12,3.4,56.7
1896,1,1.1,0
1896,2,3,12.1
1896,3,9.5,21.3
1896,4,10.7,43.3
1896,5,13.6,72.7
1896,6,17.6,251.6
1896,7,20.7,252.8
1896,8,16.9,425.7
1896,9,15.4,345.1
1896,10,10.8,742.5
1896,11,5.5,177.9
1896,12,2.2,134.6
1897,1,2.4,265.7
